Timestamp,What is your age?,Gender,Class,City/ Residencial status,,,,How many hours do you play Video Games in  a day?,"How much time do you play ""violent"" video games specifically?",What changes on behaviour have you experienced in yourself after playing violent video games?,Some of my Friends think I am hothead,Some of my Friends think I am hothead,"When people are especially nice to me, I wonder what they want",I tell my friends openly when I 2 with them,"Once I became so mad, I broke things",When people 2 with me I get into arguments,When I argue I use abusive language,I am a hot-tempered person,I am suspicious of strangers who are too friendly,I have threatened some people whom I know,I can get angry suddenly but get over it quickly,"If I am provoked enough, I will hit another person","When people annoy me, I openly tell them what I think of them",I may hit a person for no good reason,Sometimes I feel I am being treated unfairly,I have trouble controlling my temper,"When frustrated, I show my irritation",Sometimes I feel people are laughing behind my back,I often 2 with people,"If somebody hits me, I hit back",I sometimes feel like exploding for no good reason,I feel other people always take over the oppurtunity and I miss it,there are people who pushed me so far that we begin fighting,"I know that some so called ""friends"" talk about me behind my back",My friends say that I am a bit argumentative,Sometimes I lose temper for no good reason,I get into fights a little more than a normal person,sometimes I can not control the feeling to hit another person ,I sometimes get too much jealous from people,I dont know why sometimes I feel bitter about things,"Have you ever been involved in delinquent behaviour? like stealing, breaking things of others",Do you believe that playing violent video games can lead to aggressive behavior in real life?,aggression/behavious score, 
7-14-2023 12:58:35,20,female,12th,uttar pradesh,,,,more than 2 hour,more than 2 hour,Motivated,4,4,3,4,3,4,4,3,4,3,4,4,4,1,4,2,4,1,2,5,5,2,4,4,4,1,3,4,2,4,yes,no,3.333333333,
7-14-2023 13:04:13,19,male,bs,uttar pradesh,,,,more than 2 hour,more than 2 hour,i feel relaxed ,1,1,2,1,4,4,2,2,2,2,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,no,no,1.9,
7-14-2023 13:14:15,17,male,11th,uttar pradesh,,,,more than 2 hour,more than 3 hour,Agrresive,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,yes,yes,3.966666667,
7-14-2023 13:17:21,18,male,11th,uttar pradesh,,,,more than 3 hour,more than 2 hour,Irritation,1,1,2,4,5,4,4,2,4,1,5,4,2,1,4,2,4,2,1,5,2,4,4,4,4,2,2,5,1,1,yes,yes,2.9,
7-14-2023 13:31:25,25,male,16,uttar pradesh ,,,,less than 1 hour,less than 1 hour,No,1,1,4,2,2,3,3,2,3,4,4,2,4,5,3,3,2,5,3,3,2,2,2,3,2,4,3,2,2,3,yes,no,2.8,
7-14-2023 13:44:41,25,male,M.A special Education ,rajnagar ext.,,,,more than 1 hour,less than 1 hour,No changes,4,4,4,4,2,2,2,2,4,2,2,2,2,2,2,4,4,2,4,3,2,2,2,2,2,2,2,2,2,4,no,yes,2.633333333,
7-14-2023 13:53:52,19,male,12th,uttar pradesh ,,,,more than 2 hour,more than 2 hour,Idk,3,3,4,3,3,3,3,3,2,1,2,3,2,2,2,2,3,3,1,3,3,2,3,3,3,3,3,3,4,4,yes,yes,2.733333333,
7-14-2023 14:56:08,28,male,BA (AD),uttar pradesh ,,,,more than 1 hour,more than 1 hour,No,4,4,1,1,1,1,1,1,1,3,1,1,1,1,1,3,4,4,1,1,1,1,1,1,1,1,1,1,1,1,no,no,1.533333333,
7-14-2023 15:36:08,20,male,12th,uttar pradesh ,,,,less than 1 hour,more than 2 hour,Nothing ,4,4,3,2,2,4,2,1,1,3,4,4,2,2,3,3,2,2,4,4,4,4,4,4,5,5,3,2,2,3,yes,yes,3.066666667,
7-14-2023 15:39:26,19,male,12th,muzaffarnagar,,,,more than 1 hour,more than 1 hour,Mm,2,2,2,1,3,2,3,4,3,3,2,3,2,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,no,yes,2.866666667,
7-14-2023 15:42:58,16,male,11th,uttar pradesh ,,,,more than 3 hour,more than 2 hour,Turned a bit angry ,4,4,4,4,1,2,3,4,3,1,4,1,1,2,4,2,3,4,4,3,3,3,3,3,4,4,3,3,3,3,no,no,3,
7-14-2023 15:47:47,15,female,10th,uttar pradesh,,,,more than 1 hour,more than 1 hour,being angry,4,4,4,5,1,3,4,4,4,1,5,1,4,1,3,2,5,1,3,4,1,3,1,5,3,1,1,3,1,3,no,no,2.833333333,
7-14-2023 15:55:15,16,male,11th,uttar pradesh,,,,more than 1 hour,more than 1 hour,None ,2,2,3,4,3,2,2,3,2,3,2,4,3,1,4,2,2,2,3,5,1,2,4,1,2,2,1,1,2,2,no,no,2.4,
7-14-2023 16:03:31,15,male,11th,uttar pradesh,,,,more than 3 hour,more than 3 hour,None,2,2,2,4,1,1,1,2,5,2,2,1,1,1,3,1,4,4,3,5,3,1,1,4,2,1,1,1,1,4,no,no,2.2,
7-14-2023 16:29:21,15,male,11th,uttar pradesh ,,,,more than 3 hour,more than 3 hour,"People respond differently for me it?s nothing , I feel good and less tired and I think that people feel good around me once I?m relaxed by playing games",3,3,5,3,3,3,4,3,4,4,5,3,4,2,1,2,4,4,3,4,4,3,4,5,2,2,3,1,3,4,no,no,3.266666667,
7-14-2023 17:03:51,20,male,12th,greater noida,,,,more than 1 hour,less than 1 hour,Noting ,1,1,2,3,4,2,3,3,4,1,2,3,2,1,1,3,3,5,5,4,2,5,1,5,5,1,1,1,1,2,no,no,2.566666667,
7-14-2023 17:23:13,23,male,M A,noida,,,,more than 2 hour,more than 2 hour,Nice,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,yes,yes,4,
7-14-2023 22:10:08,18,female,12th,uttar pradesh,,,,more than 1 hour,more than 1 hour,Nothing,2,2,4,4,2,2,1,2,4,1,3,2,4,2,3,2,4,3,2,4,3,3,2,3,2,2,2,2,2,3,no,yes,2.566666667,
7-15-2023 1:18:11,17,male,Bachelors,uttar pradesh,,,,less than 1 hour,less than 1 hour,"I have since given up on video games but when I used to play, I used to feel dissatisfied by the way I was spending my time/life. Perhaps it contributed to the general feeling of demoralization. It certainly didn't improve my overall mental stability and and weakened my mental strength and resolve, perhaps even contributed to loss of emotional control.",1,1,4,4,3,2,1,3,4,2,2,2,2,1,3,3,3,1,3,3,1,2,4,1,1,2,1,1,1,1,no,no,2.1,
7-15-2023 2:52:12,18,male,12th,jammu,,,,more than 3 hour,more than 3 hour,Bad behaviour,4,4,2,4,5,1,4,1,4,1,4,5,4,2,2,3,4,5,5,4,4,4,4,4,5,4,2,2,1,3,no,yes,3.366666667,
7-16-2023 10:10:04,20,male,Doctor of veterinary medicine  ,jammu,,,,more than 1 hour,more than 1 hour,I am now somehow furious and depressed ,4,4,5,5,2,2,2,3,4,2,4,2,4,1,1,1,2,2,3,1,3,4,4,2,2,1,3,3,1,3,no,yes,2.666666667,
7-16-2023 20:02:55,15,female,9th,uttar pradesh,,,,more than 1 hour,more than 1 hour,Tried to Follow some Techniques ,2,2,4,2,1,4,1,1,1,1,3,1,4,1,3,2,4,4,2,2,2,4,4,3,2,2,2,2,2,2,no,no,2.333333333,
7-16-2023 20:08:21,15,female,9th,uttar pradesh,,,,less than 1 hour,less than 1 hour,Sometimes angry on siblings ,4,4,4,4,2,4,4,4,4,4,4,4,2,4,4,2,4,4,2,4,2,4,2,4,4,2,4,4,4,4,yes,yes,3.533333333,
7-16-2023 20:34:13,16,female,12th,kashmir,,,,less than 1 hour,less than 1 hour,Can't takes its seriously.,3,3,2,4,2,2,1,3,3,1,3,2,5,4,1,1,3,2,3,5,2,2,3,5,2,2,1,4,1,2,no,no,2.566666667,
7-16-2023 22:07:25,19,male,9th,uttar pradesh ,,,,more than 2 hour,more than 2 hour,Excited,3,3,4,4,3,2,2,3,4,2,4,2,2,3,3,2,2,3,2,3,3,2,2,3,1,4,2,2,2,4,yes,no,2.7,
7-16-2023 22:42:26,15,female,10th,uttar pradesh,,,,less than 1 hour,less than 1 hour,No change,3,3,3,4,2,4,2,3,4,2,4,2,2,1,4,3,4,3,3,2,2,3,2,4,3,3,2,1,2,4,no,yes,2.8,
7-16-2023 22:49:19,20,female,12th,uttar pradesh,,,,less than 1 hour,less than 1 hour,No changes,2,2,4,4,5,4,1,2,3,1,5,4,5,1,5,3,5,4,5,5,4,2,2,5,4,4,2,1,1,1,no,yes,3.2,
7-16-2023 22:57:50,15,male,9th,uttar pradesh,,,,more than 5 hour,more than 5 hour,I want to shoot every moving thing on earth.,5,5,4,5,5,5,2,5,3,1,5,5,3,3,4,4,4,4,4,5,4,3,4,3,4,4,3,4,3,3,no,yes,3.866666667,
7-16-2023 23:00:12,17,male,12th,uttar pradesh,,,,more than 3 hour,more than 2 hour,I see everyone as my target and sometimes I wanted to implement the game scenario in real life. ,2,2,5,4,1,2,1,1,4,1,5,1,4,1,4,1,4,1,1,4,4,1,1,1,1,2,1,1,1,2,yes,no,2.133333333,
7-16-2023 23:06:29,18,female,12th,uttar pradesh,,,,less than 1 hour,more than 1 hour,No,1,1,1,5,1,5,1,1,4,5,5,1,4,1,1,5,1,5,5,5,2,5,5,5,1,4,1,1,1,4,no,no,2.9,
7-16-2023 23:31:26,15,female,9th,kanpur ,,,,more than 3 hour,more than 2 hour,nothing,3,3,4,3,5,4,5,5,4,1,5,4,2,1,4,5,1,3,3,5,3,3,4,4,3,2,1,1,4,3,no,no,3.266666667,
7-17-2023 0:14:39,20,male,12th,uttar pradesh,,,,more than 2 hour,more than 2 hour,Nothing ,5,5,3,3,1,2,5,1,4,4,4,3,3,2,3,3,3,3,3,3,3,3,4,5,3,5,3,3,3,3,no,yes,3.266666667,
7-17-2023 0:22:08,20,female,Bsc (hons),uttar pradesh,,,,more than 1 hour,less than 1 hour,Getting annoyed easily ,3,3,4,3,2,3,2,3,4,1,2,2,4,2,3,4,3,3,3,3,2,4,4,3,3,3,2,2,2,2,no,yes,2.8,
7-17-2023 0:38:42,20,female,12th,uttar pradesh,,,,more than 3 hour,less than 1 hour,Nothing ,3,3,4,1,4,2,1,4,4,2,4,2,2,2,4,4,2,4,4,2,4,4,4,4,2,2,4,4,3,4,no,yes,3.1,
7-17-2023 0:40:29,19,female,12th,uttar pradesh,,,,less than 1 hour,less than 1 hour,No change,3,3,5,1,4,4,1,3,4,4,4,2,4,2,4,5,5,5,3,3,2,3,3,3,3,3,3,3,3,3,no,no,3.266666667,
7-17-2023 0:45:43,20,female,12th,uttar pradesh,,,,more than 3 hour,less than 1 hour,Annoying ,4,4,4,4,5,5,1,3,4,3,4,4,2,1,2,4,4,1,2,5,4,1,2,1,5,4,4,5,4,3,no,no,3.3,
7-17-2023 0:46:05,18,female,12th,uttar pradesh,,,,more than 5 hour,more than 3 hour,Maybe I fight with everyone ,4,4,3,4,4,4,3,4,3,2,4,3,4,2,4,3,4,3,4,4,3,4,4,4,4,3,4,4,4,4,yes,yes,3.6,
7-17-2023 0:51:37,16,male,10th,uttar pradesh,,,,less than 1 hour,less than 1 hour,Aggressiveness ,4,4,4,2,2,2,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,3,3,3,3,2,2,3,3,no,no,2.766666667,
7-17-2023 0:53:32,19,female,Bs interior designing ,kerala,,,,less than 1 hour,less than 1 hour,Rybvj,4,4,4,3,4,3,2,2,1,2,2,2,2,1,1,4,2,4,4,3,1,2,3,2,2,1,2,3,3,4,yes,yes,2.566666667,
7-17-2023 1:04:23,20,male,12th,uttar pradesh,,,,more than 3 hour,more than 3 hour,Relaxed,4,4,4,4,3,4,4,4,4,3,5,4,4,1,3,3,4,3,2,5,3,3,4,4,4,3,2,3,1,3,no,no,3.4,
7-17-2023 1:14:02,18,female,Bba,uttar pradesh ,,,,less than 1 hour,less than 1 hour,Nothing ,1,1,2,2,5,4,4,4,4,3,3,5,3,2,1,1,5,5,2,4,5,5,5,4,2,5,3,3,3,3,yes,yes,3.3,
7-17-2023 1:36:27,18,male,BS Commerce ,uttar pradesh,,,,more than 1 hour,less than 1 hour,Nothing ,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,no,no,2.866666667,
7-17-2023 2:28:33,18,female,12th,bulandshr,,,,more than 1 hour,more than 1 hour,Not any,4,4,5,4,1,4,1,3,4,1,4,1,4,1,4,4,4,2,3,4,2,3,2,4,4,2,2,2,2,4,no,yes,2.966666667,
7-17-2023 2:35:12,15,male,9th,kanpur,,,,more than 3 hour,less than 1 hour,Nothing,1,1,1,4,1,3,1,4,3,1,2,1,4,1,4,2,4,4,4,4,1,2,1,4,2,1,3,1,1,1,no,no,2.233333333,
7-17-2023 3:18:16,23,male,Graduate,uttar pradesh,,,,less than 1 hour,less than 1 hour,Nothing,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,no,yes,2.933333333,
